DocID,FinBERT_Score,TextLength
S100JF5C,0.5924000144004822,26637
S100JLIK,0.5719000101089478,12175
S100JRD2,0.6080999970436096,15575
S100JRLF,0.5770999789237976,71918
S100JRLO,0.6039999723434448,90415
S100JRQB,0.6194999814033508,131121
S100JRQU,0.5807999968528748,11998
S100JRSP,0.6003999710083008,15675
S100JRSR,0.6392999887466431,126511
S100JRT9,0.6218000054359436,96828
S100JRVP,0.5956000089645386,14703
S100JRWG,0.590499997138977,153453
S100JS1F,0.6330999732017517,137307
S100JS36,0.5910999774932861,9761
S100JS6H,0.6090999841690063,144194
S100JSFA,0.6071000099182129,15632
S100JSI6,0.6328999996185303,121418
S100JSOI,0.6126000285148621,91931
S100JSTD,0.5813000202178955,117853
S100JSTF,0.6000999808311462,24146
S100JSY9,0.6147000193595886,109007
S100JTBC,0.6065000295639038,13428
S100JTL9,0.5741999745368958,17416
S100JUHS,0.6031000018119812,27277
S100JUVA,0.527400016784668,10271
S100JUZK,0.5911999940872192,16636
S100JV4W,0.5995000004768372,24297
S100JVH7,0.5996999740600586,14399
S100JVI9,0.5914000272750854,18205
S100JVLC,0.5888000130653381,10229
S100JVV2,0.59170001745224,11071
S100JVX6,0.6168000102043152,35441
S100JVXG,0.5968000292778015,24301
S100JVXK,0.5824000239372253,13506
S100JVYI,0.5565999746322632,18343
S100JVZQ,0.6057999730110168,12796
S100JW01,0.5942999720573425,15456
S100JW85,0.6008999943733215,27112
S100JWLY,0.5846999883651733,13157
S100JWQM,0.602400004863739,31391
S100JWT0,0.6003999710083008,17965
S100JWT6,0.5683000087738037,13145
S100JWTP,0.5618000030517578,18375
S100JWUG,0.5961999893188477,14308
S100JX0B,0.5928999781608582,12209
S100JX3T,0.5978999733924866,27701
S100JX41,0.5942999720573425,16663
S100JX4P,0.6032999753952026,9189
S100JX97,0.593999981880188,14736
S100JXAE,0.5981000065803528,22722
S100JXAF,0.5942999720573425,15871
S100JXEE,0.6161999702453613,10793
S100JXG8,0.5867999792098999,22473
S100JXJ4,0.5909000039100647,18616
S100JXQN,0.5672000050544739,32855
S100JYMB,0.6187000274658203,109837
S100JYSX,0.5849999785423279,13117
S100JYUP,0.5981000065803528,16918
S100JYZE,0.6011000275611877,24051
S100JZ3R,0.6040999889373779,28249
S100JZ66,0.5871999859809875,18437
S100JZ8I,0.5748999714851379,23476
S100JZ9U,0.5777999758720398,22299
S100JZBS,0.6367999911308289,127674
S100JZCH,0.5992000102996826,21814
S100JZME,0.6144999861717224,146233
S100JZNT,0.5774000287055969,16628
S100JZOI,0.6087999939918518,19596
S100JZQ1,0.5841000080108643,18877
S100JZTO,0.6064000129699707,133451
S100JZTU,0.6104000210762024,16131
S100JZWM,0.5738999843597412,15636
S100JZXH,0.5972999930381775,14545
S100JZYO,0.5490999817848206,31518
S100K00A,0.6072999835014343,21882
S100K01R,0.588100016117096,31054
S100K027,0.6021999716758728,68819
S100K02S,0.6216999888420105,111189
S100K04O,0.6003999710083008,35900
S100K05Q,0.6208999752998352,26360
S100K060,0.6158999800682068,38394
S100K062,0.5809999704360962,24338
S100K06R,0.5834000110626221,38461
S100K06V,0.5947999954223633,24902
S100K07B,0.5895000100135803,31600
S100K08T,0.5943999886512756,17626
S100K0AD,0.5777000188827515,25865
S100K0BQ,0.5939000248908997,25895
S100K0BU,0.6043999791145325,30895
S100K0CF,0.5938000082969666,19974
S100K0CS,0.5924000144004822,19488
S100K0DS,0.5866000056266785,11605
S100K0F1,0.5486999750137329,24546
S100K0F8,0.5989999771118164,54309
S100K0I0,0.6086000204086304,26164
S100K0IF,0.5841000080108643,18951
S100K0JQ,0.5918999910354614,20441
S100K0KF,0.6226999759674072,21923
S100K0KG,0.628600001335144,13454
S100K0L9,0.574999988079071,29745
S100K0LP,0.5741999745368958,34805
S100K0M8,0.5911999940872192,23253
S100K0ME,0.5943999886512756,21076
S100K0MY,0.5964999794960022,14557
S100K0O2,0.5814999938011169,21854
S100K0OO,0.5735999941825867,25629
S100K0PR,0.592199981212616,23481
S100K0RC,0.6072999835014343,91513
S100K0RT,0.6072999835014343,22513
S100K0SW,0.5938000082969666,15858
S100K0T8,0.5813999772071838,21251
S100K0TN,0.5726000070571899,25458
S100K0TU,0.5669999718666077,26939
S100K0UA,0.5978000164031982,35372
S100K0VH,0.6000999808311462,21667
S100K0VO,0.5834000110626221,22251
S100K0WW,0.5871999859809875,22306
S100K0XA,0.6193000078201294,30100
S100K0XN,0.5557000041007996,20389
S100K0XU,0.5748999714851379,27773
S100K0XX,0.6172999739646912,15491
S100K0YE,0.5935999751091003,17686
S100K0Z4,0.5519999861717224,27925
S100K0ZW,0.6104999780654907,35662
S100K10N,0.5881999731063843,17366
S100K13R,0.5594000220298767,25536
S100K14Z,0.5875999927520752,16171
S100K15D,0.5867999792098999,25593
S100K15J,0.6298999786376953,12389
S100K16Q,0.621399998664856,42727
S100K16T,0.6147000193595886,20477
S100K173,0.5717999935150146,25549
S100K18A,0.5968999862670898,10879
S100K19Y,0.5871999859809875,19936
S100K1A3,0.5957000255584717,17992
S100K1AX,0.5728999972343445,17433
S100K1D5,0.5932999849319458,17583
S100K1DE,0.5799000263214111,27298
S100K1DK,0.5978000164031982,35634
S100K1DX,0.607699990272522,16542
S100K1E0,0.5852000117301941,16204
S100K1EC,0.5820000171661377,34772
S100K1FS,0.5898000001907349,20815
S100K1ID,0.5958999991416931,25166
S100K1JP,0.5914000272750854,18526
S100K1JX,0.5950000286102295,22631
S100K1KH,0.5817000269889832,20081
S100K1KM,0.5982999801635742,17905
S100K1LU,0.597000002861023,17261
S100K1LX,0.5914999842643738,19950
S100K1MI,0.5861999988555908,19399
S100K1OL,0.5827999711036682,14850
S100K1OM,0.593500018119812,26831
S100K1PH,0.5719000101089478,22234
S100K1PM,0.586899995803833,23170
S100K1Q8,0.5954999923706055,16905
S100K1QC,0.5802000164985657,14525
S100K1QO,0.6144000291824341,28944
S100K1RQ,0.600600004196167,18014
S100K1RX,0.5856999754905701,20924
S100K1S8,0.5745999813079834,21646
S100K1S9,0.6032999753952026,13936
S100K1SH,0.6129999756813049,25581
S100K1SQ,0.600600004196167,14366
S100K1SR,0.5746999979019165,16145
S100K1T5,0.5981000065803528,19658
S100K1T6,0.608299970626831,24462
S100K1TO,0.5921000242233276,15745
S100K1U7,0.5493000149726868,18712
S100K1UB,0.6071000099182129,17335
S100K1UH,0.5852000117301941,23428
S100K1V0,0.6155999898910522,19942
S100K1V8,0.5860999822616577,18196
S100K1X2,0.5687999725341797,28041
S100K1YF,0.5954999923706055,24983
S100K1YG,0.6116999983787537,12074
S100K1Z6,0.5885000228881836,20403
S100K1ZA,0.5863999724388123,22963
S100K215,0.5910000205039978,31934
S100K22J,0.5727999806404114,39208
S100K230,0.5774999856948853,61771
S100K23U,0.5127000212669373,29858
S100K24Y,0.598800003528595,18250
S100K252,0.6025999784469604,21490
